id,code,description,city,city_eng,street,area,zip,building,latitude,longitude,count
181,WRO10H,W lokalu użytkowym,Wrocław,wroclaw,Klecińska,dolnośląskie,54-412,138,51.10624,16.96961,0
182,WRO10L,Stacja paliw Shell,Wrocław,wroclaw,Kamienna,dolnośląskie,50-545,145,51.08545,17.04597,0
183,WRO10M,Na terenie stacji paliw Lotos,Wrocław,wroclaw,Awicenny,dolnośląskie,52-405,47,51.08132,16.95607,0
184,WRO10N,Przy sklepie spożywczym ABC,Wrocław,wroclaw,Mrągowska,dolnośląskie,54-107,4,51.15113,16.94066,0
185,WRO10W,Przy siedzibie wspólnoty mieszkaniowej,Wrocław,wroclaw,Zemska,dolnośląskie,54-438,35,51.11635,16.94855,0
186,WRO110M,Po prawej stronie od wejścia do sklepu,Wrocław,wroclaw,Górnośląska,dolnośląskie,52-019,2B,51.07435,17.08581,0
187,WRO111M,Po prawej stronie od wjazdu,Wrocław,wroclaw,Wietrzna,dolnośląskie,53-024,10,51.07233,16.9976,0
188,WRO112M,na parkingu Novotel Wrocław City,Wrocław,wroclaw,Wyścigowa,dolnośląskie,53-011,35,51.0692,17.00747,0
189,WRO113M,Przy posesji,Wrocław,wroclaw,Karkonoska,dolnośląskie,53-015,31,51.0696,17.0047,0
190,WRO114M,Po lewej stronie od wejścia do sklepu,Wrocław,wroclaw,Wielkopolska,dolnośląskie,54-027,19-21,51.1411,16.8859,0
191,WRO115M,Po prawej stronie od wjazdu na teren LIDLa,Wrocław,wroclaw,Buforowa,dolnośląskie,52-131,5/9,51.0688,17.056,0
192,WRO116M,Po lewej stronie od posesji,Wrocław,wroclaw,Kamiennogórska,dolnośląskie,54-034,5,51.1415,16.9,0
193,WRO117M,Przy skrzyżowaniu ulic Rumiankowej i M. Przybyły.,Wrocław,wroclaw,Rumiankowa,dolnośląskie,54-512,74,51.1211,16.9164,0
194,WRO118M,Na terenie wspólnoty mieszkaniowej GAJ,Wrocław,wroclaw,Strońska,dolnośląskie,50-538,22,51.07288,17.04112,0
195,WRO11A,Stacja paliw Circle K,Wrocław,wroclaw,Braniborska,dolnośląskie,53-680,84,51.11164,17.00621,0
196,WRO11B,Parking SM Księże Małe,Wrocław,wroclaw,Tarnogórska,dolnośląskie,52-021,1,51.0749962031,17.086201171,0
197,WRO11L,Stacja paliw Shell,Wrocław,wroclaw,Mińska,dolnośląskie,54-610,41,51.10596,16.95048,0
